sample,start_utc,end_utc,phase,event_relative_s,address,token_rows,up_normal_rows,owns_values,ownership_sha256,source_file
4975,2026-09-22T15:53:58.5658047+00:00,2026-09-22T15:53:59.0152077+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004975.txt
4975,2026-09-22T15:53:58.5658047+00:00,2026-09-22T15:53:59.0152077+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004975.txt
4975,2026-09-22T15:53:58.5658047+00:00,2026-09-22T15:53:59.0152077+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004975.txt
4976,2026-09-22T15:54:00.6347612+00:00,2026-09-22T15:54:01.2005796+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004976.txt
4976,2026-09-22T15:54:00.6347612+00:00,2026-09-22T15:54:01.2005796+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004976.txt
4976,2026-09-22T15:54:00.6347612+00:00,2026-09-22T15:54:01.2005796+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004976.txt
4977,2026-09-22T15:54:02.7164836+00:00,2026-09-22T15:54:03.1521169+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004977.txt
4977,2026-09-22T15:54:02.7164836+00:00,2026-09-22T15:54:03.1521169+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004977.txt
4977,2026-09-22T15:54:02.7164836+00:00,2026-09-22T15:54:03.1521169+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004977.txt
4978,2026-09-22T15:54:04.7942013+00:00,2026-09-22T15:54:05.2924030+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004978.txt
4978,2026-09-22T15:54:04.7942013+00:00,2026-09-22T15:54:05.2924030+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004978.txt
